Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN03424901,ACE ETOILE OF REFLECTIONS,BOUVIER DES FLANDRES,,BRINDLE,F,Mar 26 2003 ,DL74175102,DL74618102,1122821,38707.0,Nov  4 2005 ,31,HIPS,GOOD,BF-5672G31F-PI,1.0,1.0,DL40883506,DL54464801,2.0,DL61565302,DL54958503,1.0,D938582,D504798,1.0,D622975,DL36162702,1.0,D622975,D878396,2.0,DL41139206,DL40692504,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.5,2.0,1.5,1.5,2.0,0.5
DN14732308,ACE'S COMMANDER IN CHIEF,BOUVIER DES FLANDRES,,GRAY,M,Apr 17 2006 ,DL74175102,DN00812001,1567278,,Mar 11 2013 ,82,HIPS,FAIR,BF-6821F82M-VPI,2.0,1.0,DL40883506,DL54464801,1.0,DL65374703,DL75052102,1.0,D938582,D504798,1.0,D622975,DL36162702,0.0,DL53754204,D894336,1.0,DL42136802,DL46251407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,0.5,1.5,1.5,1.0,1.5
DL91292601,ACE'S DIAMOND RIO,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Sep 10 2002 ,DL74175102,DL74618102,1124865,44634.0,Sep 16 2004 ,24,HIPS,GOOD,BF-5514G24F-PI,1.0,1.0,DL40883506,DL54464801,2.0,DL61565302,DL54958503,1.0,D938582,D504798,1.0,D622975,DL36162702,1.0,D622975,D878396,2.0,DL41139206,DL40692504,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.5,2.0,1.5,1.5,2.0,0.5
DL91292602,ACE'S INDELIBLE MARK,BOUVIER DES FLANDRES,,GRAY BRINDLE,M,Sep 10 2002 ,DL74175102,DL74618102,1124867,38709.0,Sep 16 2004 ,24,HIPS,GOOD,BF-5511G24M-PI,1.0,1.0,DL40883506,DL54464801,2.0,DL61565302,DL54958503,1.0,D938582,D504798,1.0,D622975,DL36162702,1.0,D622975,D878396,2.0,DL41139206,DL40692504,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.5,2.0,1.5,1.5,2.0,0.5
DN34773703,ADARA ROCK N RICO FERMI DU MATIN,BOUVIER DES FLANDRES,,GRAY BRINDLE,M,Sep 12 2012 ,DN21392304,DN18243404,1562854,108435.0,Oct 15 2014 ,25,HIPS,GOOD,BF-7033G25M-VPI,1.0,1.0,DN10958707,DN10947703,0.0,DN03147401,DN07979806,1.0,DN04619001,DL78928306,1.0,DL90091102,DL84303901,1.0,DL76979501,DL83292002,1.0,DL74175102,DL69174404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.5,1.5,1.5,1.5,2.0
DN18243406,AJ'S RUSHING WARRIOR DU MATIN,BOUVIER DES FLANDRES,,BRINDLE,M,May  5 2007 ,DN03147401,DN07979806,1311353,70581.0,Mar  9 2010 ,34,HIPS,EXCELLENT,BF-6397E34M-PI,0.0,1.0,DL76979501,DL83292002,1.0,DL74175102,DL69174404,1.0,DL52377705,DL60067201,1.0,DL40883506,DL68802301,1.0,DL40883506,DL54464801,2.0,DL41139203,DL35139106,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,1.0,1.5,1.5
DL69334103,ALPINE VANDERWOOKIE CHUBAKKA,BOUVIER DES FLANDRES,,BRINDLE,M,May 18 1997 ,DL54958505,DL49198704,761526,0.0,Nov  3 1999 ,29,HIPS,FAIR,BF-4493F29M-T,2.0,2.0,DL41139206,DL40692504,2.0,D821066,D771394,0.0,D622975,D685800,1.0,D452172,D855658,1.0,WF059111,D133820,1.0,D180556,D390271,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,0.5,1.5,2.0,2.0,1.5,3.0
DN29164408,ALWAYS BLUE ATLAS CEDAR,BOUVIER DES FLANDRES,,GRAY BRINDLE,M,Sep 13 2010 ,DL91118702,DN15635706,1539662,,Sep 15 2012 ,24,HIPS,EXCELLENT,BF-6752E24M-VPI,0.0,1.0,DL62604705,DL73931702,1.0,DL80627010,DN08069101,1.0,DL53754204,DL36866901,1.0,DL62190002,DL52131108,1.0,D994708,DL59292701,1.0,DL90641202,DL73931702,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5
DN29164407,ALWAYS FLAMING RED AZALEA,BOUVIER DES FLANDRES,,BLACK,F,Sep 13 2010 ,DL91118702,DN15635706,1520705,,Apr  1 2013 ,30,HIPS,GOOD,BF-6830G30F-VPI,1.0,1.0,DL62604705,DL73931702,1.0,DL80627010,DN08069101,1.0,DL53754204,DL36866901,1.0,DL62190002,DL52131108,1.0,D994708,DL59292701,1.0,DL90641202,DL73931702,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5
DN29164404,ALWAYS FLOWERING CALLA LILY,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Sep 13 2010 ,DL91118702,DN15635706,1520707,88897.0,Apr  1 2013 ,30,HIPS,GOOD,BF-6827G30F-VPI,1.0,1.0,DL62604705,DL73931702,1.0,DL80627010,DN08069101,1.0,DL53754204,DL36866901,1.0,DL62190002,DL52131108,1.0,D994708,DL59292701,1.0,DL90641202,DL73931702,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5
