Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN62902502,ABFAB TICKET TO RIDE,BORDER COLLIE,,BLACK,M,May 17 2020 ,DN44894904,DN49085101,2478374,,Aug  1 2023 ,38,HIPS,GOOD,BCO-16562G38M-C-VPI,1.0,1.0,DN30684802,DN26631606,1.0,DN39333903,DN33493101,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DN35604601,DN21983103,1.0,DN21946101,DN20839903,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5,1.5,1.5,0.5,0.5,1.5,0.5
DN67178403,AMMARDAN'S UNDER THE CYPRESS TREE,BORDER COLLIE,,BLUE MERLE,F,Apr 27 2021 ,DN65784101,DN46729001,2281914,186563.0,Aug  3 2023 ,27,HIPS,GOOD,BCO-16578G27F-P-VPI,1.0,1.0,DN43453307,DN45273301,1.0,DN40748405,DN35964403,0.0,DN17407102,DN24760804,0.0,DN18932603,DN31524902,1.0,DN20664902,DN28025304,1.0,DN05753901,DN21983102,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,0.0,1.5,1.5,1.5,2.0,1.5
DN35622501,BORDERTOWN FIREFLY,BORDER COLLIE,,BLACK,F,Jan 11 2013 ,DN22922101,DN18745401,1658933,,Jul 20 2015 ,30,HIPS,GOOD,BCO-11033G30F-VPI,1.0,1.0,DN04079405,DN03920706,1.0,DL91301901,DN03920702,1.0,DN00000801,DL89542002,1.0,DL66586901,DL81762802,1.0,DL61501601,DL68794601,0.0,DL66586901,DL81762802,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,1.0,2.5,1.5,1.0,1.5
DN35622503,BORDERTOWN JD DUBLIN DOWN,BORDER COLLIE,,BLACK,M,Jan 11 2013 ,DN22922101,DN18745401,1633985,,Jan 12 2015 ,24,HIPS,GOOD,BCO-10699G24M-PI,1.0,1.0,DN04079405,DN03920706,1.0,DL91301901,DN03920702,1.0,DN00000801,DL89542002,1.0,DL66586901,DL81762802,1.0,DL61501601,DL68794601,0.0,DL66586901,DL81762802,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,1.0,2.5,1.5,1.0,1.5
DN49425304,CYCLONE'S AGENT OF KAOS,BORDER COLLIE,,GOLD,M,Mar 16 2017 ,DN27305002,DN38249503,2020483,,Apr 22 2019 ,25,HIPS,GOOD,BCO-13333G25M-VPI,1.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN47188802,CYCLONE'S BLACK SWAN,BORDER COLLIE,,BLACK,F,Aug  7 2016 ,DN27305002,DN38249503,1958512,,Mar  5 2019 ,30,HIPS,EXCELLENT,BCO-13207E30F-VPI,0.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN49425301,CYCLONE'S G S DANCING SUNBEAM,BORDER COLLIE,,GOLD,F,Mar 16 2017 ,DN27305002,DN38249503,2047939,,Apr 15 2019 ,24,HIPS,GOOD,BCO-13308G24F-VPI,1.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN49425303,CYCLONE'S GS FAST AND FURIOUS,BORDER COLLIE,,BLACK,F,Mar 16 2017 ,DN27305002,DN38249503,1971690,,Apr  4 2019 ,24,HIPS,EXCELLENT,BCO-13291E24F-VPI,0.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN49425302,CYCLONE'S GS HEART OF GOLD,BORDER COLLIE,,GOLD,F,Mar 16 2017 ,DN27305002,DN38249503,1978861,,May 13 2019 ,25,HIPS,GOOD,BCO-13372G25F-VPI,1.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN47188801/NOREG1997086,CYCLONE'S HEELALONG TERPSICHORE,BORDER COLLIE,,BLACK,F,Aug  7 2016 ,DN27305002,DN38249503,1888056,,Oct 20 2018 ,26,HIPS,GOOD,BCO-12963G26F-VPI,1.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN63292204,CYCLONE'S HOT FUN IN THE SUMMERTIME,BORDER COLLIE,,BLACK,F,Jul 13 2020 ,DN44894901,DN47188802,2253328,,Oct 21 2022 ,27,HIPS,GOOD,BCO-15952G27F-C-VPI,1.0,1.0,DN30684802,DN26631606,0.0,DN27305002,DN38249503,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.5
DN47188803,CYCLONE'S KHAOS IN FLIGHT,BORDER COLLIE,,GOLD,F,Aug  7 2016 ,DN27305002,DN38249503,1933257,,Mar  8 2019 ,31,HIPS,GOOD,BCO-13231G31F-VPI,1.0,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,1.0,DL61501601,DL68794601,0.0,DL83885701,DL84787501,1.0,DL61129301,DL88507101,1.0,DL88292703,DN08128002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,0.5,0.0,1.5
DN63292202,CYCLONE'S SUMMER GOOD VIBRATIONS,BORDER COLLIE,,BLACK,M,Jul 13 2020 ,DN44894901,DN47188802,2291156,,Jul 21 2022 ,24,HIPS,EXCELLENT,BCO-15757E24M-C-VPI,0.0,1.0,DN30684802,DN26631606,0.0,DN27305002,DN38249503,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.5
DN63292201,CYCLONE'S SUMMER MERCURY RISING,BORDER COLLIE,,BLACK,M,Jul 13 2020 ,DN44894901,DN47188802,2294413,,Oct 13 2022 ,27,HIPS,EXCELLENT,BCO-15923E27M-C-VPI,0.0,1.0,DN30684802,DN26631606,0.0,DN27305002,DN38249503,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.5
DN63292205,CYCLONE'S SUMMER OF LOVE,BORDER COLLIE,,BLACK,F,Jul 13 2020 ,DN44894901,DN47188802,2341918,,Aug 29 2022 ,25,HIPS,GOOD,BCO-15830G25F-C-VPI,1.0,1.0,DN30684802,DN26631606,0.0,DN27305002,DN38249503,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.5
DN63292203,CYCLONE'S SUMMER SUNSHINE,BORDER COLLIE,,BLACK,F,Jul 13 2020 ,DN44894901,DN47188802,2287280,,Sep 25 2022 ,26,HIPS,EXCELLENT,BCO-15915E26F-P-VPI,0.0,1.0,DN30684802,DN26631606,0.0,DN27305002,DN38249503,1.0,DN18923101,DN12657801,1.0,DN21946101,DN04567202,1.0,DL91301901,DN09291601,1.0,DN04607903,DN19140506,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.5
DN36084105,CYMRIC'S IMPRACTICAL JOKER HILLARIE US JOY,BORDER COLLIE,,BLACK,F,Feb  4 2013 ,DN33363802,DN22075001,1708936,,Mar 21 2015 ,25,HIPS,GOOD,BCO-10841G25F-VPI,1.0,1.0,DN22075002,DN11923501,1.0,DL77077201,DN04978902,0.0,DL77077201,DN04978902,1.0,DL77455501,DN00325501,1.0,DL71095601,DL60779003,1.0,DL79963401,DL75537301,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.5,0.5,1.5,1.5,1.5,0.5,0.5
DN36084103,CYMRIC'S SUGAR MAGNOLIA,BORDER COLLIE,,BLACK,F,Feb  4 2013 ,DN33363802,DN22075001,1765797,,Nov  7 2015 ,33,HIPS,EXCELLENT,BCO-11225E33F-VPI,0.0,1.0,DN22075002,DN11923501,1.0,DL77077201,DN04978902,0.0,DL77077201,DN04978902,1.0,DL77455501,DN00325501,1.0,DL71095601,DL60779003,1.0,DL79963401,DL75537301,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.5,0.5,1.5,1.5,1.5,0.5,0.5
DN48404901,EMBRACE THE WONDERLAND,BORDER COLLIE,,BLACK,F,Jan 21 2017 ,DN39909006,DN33712401,1960180,,Sep 21 2019 ,32,HIPS,GOOD,BCO-13449G32F-VPI,1.0,1.0,DN28053201,DN26674703,1.0,DN09282404,DN24602506,1.0,DN17262805,DN21946102,1.0,DN14875202,DN15089201,1.0,DL78904501,DL78905001,1.0,DN14194701,DN08416509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
DN44626901,EMBRACE'S MAJESTIC EXTRA SPECIAL TREAT,BORDER COLLIE,,BLACK,M,Dec 27 2015 ,DN34755901,DN33712401,1983615,,Jul  7 2018 ,30,HIPS,GOOD,BCO-12813G30M-VPI,1.0,1.0,DN28053201,DN24794604,1.0,DN09282404,DN24602506,1.0,DN17262805,DN21946102,1.0,DN10633702,DN11076102,1.0,DL78904501,DL78905001,1.0,DN14194701,DN08416509,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5
